PayDate,FixedLeg,FloatingLeg
30-Jun-2019,0,-11674.7546000289
31-Dec-2019,-242578.118417476,-11340.2911709332
30-Jun-2020,0,-8841.27906489438
31-Dec-2020,-243382.229728329,-3046.85662858497
30-Jun-2021,0,2170.60237146715
31-Dec-2021,-243740.498778143,9435.33408114157
30-Jun-2022,0,18971.5327340186
31-Dec-2022,-243443.095972131,27896.8536307957
30-Jun-2023,0,34098.0993189905
31-Dec-2023,-242327.832387899,41366.4715662128
30-Jun-2024,0,47799.514530255
31-Dec-2024,-240588.232805458,54770.9121826218
30-Jun-2025,0,59559.6063500897
31-Dec-2025,-238217.266460221,65911.3380074407
30-Jun-2026,0,69703.819891356
31-Dec-2026,-235271.554796987,75085.5224222876
30-Jun-2027,0,77290.2138413951
31-Dec-2027,-231966.575484308,81552.2806372502
30-Jun-2028,0,83166.7859975867
31-Dec-2028,-228349.083670947,86123.6793245248
30-Jun-2029,0,86216.3505353101
31-Dec-2029,-224455.433774348,88502.3881625589
30-Jun-2030,0,87301.2380735959
31-Dec-2030,-220454.041061943,88792.3686231334
30-Jun-2031,0,87279.8204685761
31-Dec-2031,-216423.421589849,88463.3134160395
30-Jun-2032,0,87019.8345849609
31-Dec-2032,-212428.21604613,87264.1266723321
30-Jun-2033,0,84920.8877666314
31-Dec-2033,-208515.493477086,85166.299603621
30-Jun-2034,0,82437.8741747215
31-Dec-2034,-204696.821379386,82363.0966532204
30-Jun-2035,0,79555.2814589499
31-Dec-2035,-200990.086252629,79337.9129853138
30-Jun-2036,0,76904.907473904
31-Dec-2036,-197398.71832492,76115.2576427614
30-Jun-2037,0,73224.1620399514
31-Dec-2037,-193955.209410195,72714.2410687336
30-Jun-2038,0,69787.2343215846
31-Dec-2038,-190662.407432503,69127.7700494034
